Frame,Fake_Probability,Uncertainty
1,0.9999669,0.0
2,0.9999674,0.0
3,0.99996746,0.0
4,0.99996674,0.0
5,0.9999672,1.4210855e-14
6,0.9999672,3.5527137e-15
7,0.9999673,3.5527137e-15
8,0.9999665,3.5527137e-15
9,0.99996674,0.0
10,0.9999692,3.5527137e-15
11,0.9999692,0.0
12,0.99997413,3.5527137e-15
13,0.99997437,0.0
14,0.99997437,3.5527137e-15
15,0.99997437,3.5527137e-15
16,0.99997246,0.0
17,0.99997264,3.5527137e-15
18,0.9999892,3.5527137e-15
19,0.9999863,3.5527137e-15
20,0.9999832,1.4210855e-14
21,0.99998206,3.5527137e-15
22,0.9999803,0.0
23,0.99998206,3.5527137e-15
24,0.9999832,3.5527137e-15
25,0.9999865,3.5527137e-15
26,0.9999846,3.5527137e-15
27,0.9999816,0.0
28,0.9999771,0.0
29,0.999977,0.0
30,0.9999771,0.0
31,0.99997723,0.0
32,0.9999774,0.0
33,0.9999684,3.5527137e-15
34,0.9999844,3.5527137e-15
35,0.9999809,0.0
36,0.99998075,3.5527137e-15
37,0.99997777,3.5527137e-15
38,0.99998176,3.5527137e-15
39,0.9999817,3.5527137e-15
40,0.9999816,3.5527137e-15
41,0.9999812,0.0
42,0.9999816,0.0
43,0.9999817,0.0
44,0.9999816,3.5527137e-15
45,0.99998367,3.5527137e-15
46,0.999987,1.4210855e-14
47,0.9999879,0.0
48,0.9999897,0.0
49,0.9999944,3.5527137e-15
50,0.9999965,0.0
51,0.9999965,0.0
52,0.9999965,3.5527137e-15
53,0.9999965,3.5527137e-15
54,0.9999965,3.5527137e-15
55,0.9999994,3.5527137e-15
56,0.9999994,3.5527137e-15
57,0.9999994,3.5527137e-15
58,0.9999994,3.5527137e-15
59,0.9999984,3.5527137e-15
60,0.99999845,3.5527137e-15
61,0.99999845,3.5527137e-15
62,0.9999984,0.0
63,0.9999984,0.0
64,0.9999984,0.0
65,0.9999984,0.0
66,0.99999845,3.5527137e-15
67,0.99999845,3.5527137e-15
68,0.99999845,3.5527137e-15
69,0.99999654,3.5527137e-15
70,0.99999636,3.5527137e-15
71,0.9999968,3.5527137e-15
72,0.9999965,3.5527137e-15
73,0.99999654,3.5527137e-15
74,0.99999726,0.0
75,0.99999714,0.0
76,0.99999654,1.4210855e-14
77,0.99999654,3.5527137e-15
78,0.99999654,1.4210855e-14
79,0.99999654,1.4210855e-14
80,0.99999654,3.5527137e-15
81,0.99999654,3.5527137e-15
82,0.99999654,1.4210855e-14
83,0.99999654,1.4210855e-14
84,0.99999654,3.5527137e-15
85,0.9999978,3.5527137e-15
86,0.99999774,3.5527137e-15
87,0.99999774,3.5527137e-15
88,0.99999696,3.5527137e-15
89,0.9999963,0.0
90,0.999997,0.0
91,0.9999968,3.5527137e-15
92,0.9999965,3.5527137e-15
93,0.9999965,0.0
94,0.99999696,3.5527137e-15
95,0.99999654,3.5527137e-15
96,0.99999696,3.5527137e-15
97,0.9999973,0.0
98,0.99999726,3.5527137e-15
99,0.8415923,0.0
100,0.8409916,3.5527137e-15
101,0.7631293,0.0
102,0.8147398,3.5527137e-15
103,0.7320615,3.5527137e-15
104,0.7861341,3.5527137e-15
105,0.807346,0.0
106,0.82266253,0.0
107,0.9405468,0.0
108,0.94050777,3.5527137e-15
109,0.94047517,3.5527137e-15
110,0.9404526,0.0
111,0.9405159,3.5527137e-15
112,0.94050777,3.5527137e-15
113,0.94047517,3.5527137e-15
114,0.9404526,0.0
115,0.9405159,3.5527137e-15
116,0.94050777,3.5527137e-15
117,0.94047517,3.5527137e-15
118,0.81180274,3.5527137e-15
119,0.8120349,0.0
120,0.81202376,3.5527137e-15
121,0.81190664,3.5527137e-15
122,0.81182957,0.0
123,0.81203496,3.5527137e-15
124,0.81202376,0.0
125,0.81197464,3.5527137e-15
126,0.81189644,0.0
127,0.81210136,0.0
128,0.8120903,3.5527137e-15
129,0.80412996,0.0
130,0.8698332,0.0
131,0.8724719,0.0
132,0.87312686,3.5527137e-15
133,0.8661369,3.5527137e-15
134,0.85400593,0.0
135,0.8539796,0.0
136,0.85146636,0.0
137,0.85124475,0.0
138,0.85111105,0.0
139,0.8513379,0.0
140,0.85146636,0.0
141,0.85124475,0.0
